,windows,doctets/duration
0,1360587600,0.001
1,1360587610,0.001
2,1360587620,0.001
3,1360587630,0.001
4,1360587640,0.001
5,1360587650,0.001
6,1360587660,0.001
7,1360587670,0.001
8,1360587680,0.001
9,1360587690,0.001
10,1360587700,0.001
11,1360587710,0.001
12,1360587720,0.001
13,1360587730,0.001
14,1360587740,0.001
15,1360587750,0.001
16,1360587760,0.001
17,1360587770,0.001
18,1360587780,0.001
19,1360587790,0.001
20,1360587800,0.001
21,1360587810,0.001
22,1360587820,0.001
23,1360587830,0.001
24,1360587840,0.001
25,1360587850,0.001
26,1360587860,0.001
27,1360587870,0.001
28,1360587880,0.001
29,1360587890,0.001
30,1360587900,0.001
31,1360587910,0.001
32,1360587920,0.001
33,1360587930,0.001
34,1360587940,0.001
35,1360587950,0.001
36,1360587960,0.001
37,1360587970,0.001
38,1360587980,0.001
39,1360587990,0.001
40,1360588000,0.001
41,1360588010,0.001
42,1360588020,0.001
43,1360588030,0.001
44,1360588040,0.001
45,1360588050,0.001
46,1360588060,0.001
47,1360588070,0.001
48,1360588080,0.001
49,1360588090,0.001
50,1360588100,0.001
51,1360588110,0.001
52,1360588120,0.001
53,1360588130,0.001
54,1360588140,0.001
55,1360588150,0.001
56,1360588160,0.001
57,1360588170,0.001
58,1360588180,0.001
59,1360588190,0.001
60,1360588200,0.001
61,1360588210,0.001
62,1360588220,0.001
63,1360588230,0.001
64,1360588240,0.001
65,1360588250,0.001
66,1360588260,0.001
67,1360588270,0.001
68,1360588280,0.001
69,1360588290,0.001
70,1360588300,0.001
71,1360588310,0.001
72,1360588320,0.001
73,1360588330,0.001
74,1360588340,0.001
75,1360588350,0.001
76,1360588360,0.001
77,1360588370,0.001
78,1360588380,0.001
79,1360588390,0.001
80,1360588400,0.001
81,1360588410,0.001
82,1360588420,0.001
83,1360588430,0.001
84,1360588440,0.001
85,1360588450,0.001
86,1360588460,0.001
87,1360588470,0.001
88,1360588480,0.001
89,1360588490,0.001
90,1360588500,0.001
91,1360588510,0.001
92,1360588520,0.001
93,1360588530,0.001
94,1360588540,0.001
95,1360588550,0.001
96,1360588560,0.001
97,1360588570,0.001
98,1360588580,0.001
99,1360588590,0.001
100,1360588600,0.001
101,1360588610,0.001
102,1360588620,0.001
103,1360588630,0.001
104,1360588640,0.001
105,1360588650,0.001
106,1360588660,0.001
107,1360588670,0.001
108,1360588680,0.001
109,1360588690,0.001
110,1360588700,0.001
111,1360588710,0.001
112,1360588720,0.001
113,1360588730,0.001
114,1360588740,0.001
115,1360588750,0.001
116,1360588760,0.001
117,1360588770,0.001
118,1360588780,0.001
119,1360588790,0.001
120,1360588800,0.001
121,1360588810,0.001
122,1360588820,0.001
123,1360588830,11294.375
124,1360588840,0.001
125,1360588850,0.001
126,1360588860,0.001
127,1360588870,0.001
128,1360588880,0.001
129,1360588890,0.001
130,1360588900,0.001
131,1360588910,0.001
132,1360588920,0.001
133,1360588930,0.001
134,1360588940,0.001
135,1360588950,0.001
136,1360588960,0.001
137,1360588970,0.001
138,1360588980,0.001
139,1360588990,0.001
140,1360589000,0.001
141,1360589010,0.001
142,1360589020,0.001
143,1360589030,0.001
144,1360589040,81.25
145,1360589050,0.001
146,1360589060,0.001
147,1360589070,77.1484375
148,1360589080,0.001
149,1360589090,35.79545454545455
150,1360589100,0.001
151,1360589110,0.001
152,1360589120,0.001
153,1360589130,62.83244680851064
154,1360589140,15.75
155,1360589150,61.5234375
156,1360589160,15.625
157,1360589170,0.001
158,1360589180,0.001
159,1360589190,0.001
160,1360589200,0.001
161,1360589210,0.001
162,1360589220,0.001
163,1360589230,0.001
164,1360589240,0.001
165,1360589250,0.001
166,1360589260,0.001
167,1360589270,0.001
168,1360589280,0.001
169,1360589290,0.001
170,1360589300,0.001
171,1360589310,0.001
172,1360589320,0.001
173,1360589330,0.001
174,1360589340,0.001
175,1360589350,0.001
176,1360589360,0.001
177,1360589370,0.001
178,1360589380,0.001
179,1360589390,0.001
180,1360589400,0.001
181,1360589410,0.001
182,1360589420,0.001
183,1360589430,0.001
184,1360589440,0.001
185,1360589450,0.001
186,1360589460,0.001
187,1360589470,0.001
188,1360589480,0.001
189,1360589490,0.001
190,1360589500,0.001
191,1360589510,0.001
192,1360589520,0.001
193,1360589530,0.001
194,1360589540,0.001
195,1360589550,0.001
196,1360589560,0.001
197,1360589570,0.001
198,1360589580,0.001
199,1360589590,0.001
200,1360589600,0.001
201,1360589610,0.001
202,1360589620,0.001
203,1360589630,0.001
204,1360589640,0.001
