week,ajb9b3.csv,ajdqnf.csv,amsh7c.csv,anfz9.csv,bay6g7.csv,bpc42.csv,cjdk88.csv,ctkbn4.csv,dlokv6.csv,dsdxd8.csv,dtqb7d.csv,elnfhc.csv,habc8.csv,hemmb2.csv,hmnhx4.csv,hnldm2.csv,jac345.csv,jahq76.csv,jdf5g4.csv,jfk535.csv,jhgn9c.csv,jkn7fc.csv,jlgwxc.csv,jlkm94.csv,jmd5h8.csv,jrrgxf.csv,kab5zb.csv,kah89f.csv,kdcncc.csv,kedgm9.csv,krh5f5.csv,mdvw5.csv,mjpg95.csv,mmg9n6.csv,ms8m4.csv,mtf7w2.csv,mwwcn6.csv,ngtp8b.csv,nhm2p3.csv,njd5zf.csv,nm8c7.csv,oro26b.csv,pecxc9.csv,pnb79.csv,pt7td.csv,rrg3md.csv,tah5z2.csv,tcdzb7.csv,tjdpzd.csv,tlgdq9.csv,vvmmvd.csv,wahbf.csv,wgocnc.csv,zws2p8.csv
week1,0.001,0.001,12689.665289416509,0.001,0.001,4082.945686424719,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1640.749007936508,0.001,78.08181187550487,0.001,0.001,806.7668544690603,0.001,0.001,0.001,0.001,0.001,15.957446808510635,0.001,89.89310009718174,0.001,30120.225694444438,0.001,0.001,0.001,0.001,2369.7916666666665,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5882.8125,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
week1,0.001,0.001,1968.4724372555413,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,218.75,0.001,9600.25518015864,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7477.849804085117,0.001,0.001,0.001,0.001,4928.385416666667,69.57236842105263,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7125.0,0.001,0.001,0.001,4937.1539625824435,0.001,0.001
week1,0.001,0.001,3646.205357142857,0.001,0.001,4797.6305931855495,0.001,0.001,0.001,16.725352112676056,0.001,0.001,0.001,1315.6250000000002,0.001,42.86732124672777,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,28.947325822325826,0.001,0.001,0.001,0.001,3663.4176587301595,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,970.9149453941118,0.001,22054.50148809524,0.001,0.001,0.001,0.001,0.001,10891.48351648352,0.001,66.82180851063829
week1,0.001,0.001,119.21744036105737,0.001,0.001,1403.7417288937465,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1682.1199633699634,0.001,25.500569908814587,0.001,0.001,0.001,0.001,969.0824468085108,0.001,0.001,0.001,0.001,0.001,48.87820512820514,0.001,52.95138888888889,48.87820512820514,59.5703125,0.001,0.001,2890.120967741936,0.001,0.001,953.125,0.001,0.001,0.001,0.001,0.001,0.001,2767.9846619839973,0.001,0.001,48.87820512820514,0.001,52.95138888888889,0.001,0.001,1296.1357064711967,0.001,0.001
week1,0.001,0.001,3926.682692307693,0.001,0.001,53.32167832167834,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1315.2544070512822,0.001,78.20322941877686,0.001,0.001,0.001,0.001,0.001,0.001,0.001,54.464285714285715,59.5703125,1906.25,0.001,3500.0,0.001,0.001,0.001,0.001,52.95138888888889,3140.625,987.9111842105265,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8372.710622710623,0.001,69328.90625,0.001,10871.53820163331,0.001,0.001,0.001,563.6221173051052,0.001,0.001
week1,56.066176470588246,0.001,0.001,0.001,11294.375,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,218.75,0.001,73.40640138932208,0.001,0.001,0.001,0.001,42.685849008120066,0.001,50.16447368421053,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51.520270270270274,0.001,7745.5357142857165,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51.520270270270274,51.520270270270274,0.001,0.001,0.001,0.001,0.001,0.001,58.4931410974244
week1,0.001,0.001,2282.1653743734328,0.001,56.48035709488502,4452.265094593476,0.001,54.464285714285715,0.001,56.066176470588246,0.001,1906.25,0.001,1330.1775451559936,0.001,67.10526315789474,0.001,0.001,54.464285714285715,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.432926829268293,0.001,0.001,17135.023210409796,0.001,0.001,3154.0023561507933,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5525.841346153847,0.001,0.001,0.001,2954.6905441362987,0.001,0.001,0.001,4646.0050366300375,0.001,0.001
week1,0.001,0.001,2237.7485795454545,0.001,0.001,3820.8733275236373,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1035.435267857143,52.95138888888889,95.6052676733013,0.001,0.001,1906.25,0.001,0.001,0.001,0.001,0.001,0.001,504.59558823529403,0.001,0.001,0.001,0.001,2144.8785258405437,0.001,0.001,5659.102182539683,68.84765625,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3689.191729323308,0.001,52.95138888888889,0.001,197895.8333333333,0.001,0.001,0.001,34015.30334245859,0.001,79.78723404255321
week1,0.001,0.001,2074.136800699301,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,218.75,0.001,79.53789893617021,0.001,0.001,0.001,0.001,39.893617021276604,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51929.16666666666,6024.305555555556,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5385.602678571428,0.001,0.001,0.001,7125.0,29819.878472222223,0.001,0.001,11536.24644151139,0.001,0.001
week1,0.001,0.001,4253.90625,0.001,5099.9788844224395,4038.763330853175,0.001,0.001,0.001,0.001,0.001,0.001,0.001,951.6252790178572,0.001,67.10526315789474,0.001,0.001,0.001,0.001,14.109848484848484,0.001,0.001,0.001,0.001,0.001,0.001,27.217741935483872,0.001,0.001,0.001,0.001,287.5,4328.659643308081,69.57236842105263,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10204.16750672043,0.001,0.001
