Real First Packet,doctets/duration
1360589042.108,54.464285714285715
1360590342.409,15.078671328671328
1360590988.468,15.84507042253521
1360607458.085,15.957446808510637
1360607517.044,15.957446808510637
1360607575.473,15.957446808510637
1360607632.111,15.957446808510637
1360615837.078,50.16447368421053
1360621274.183,56.06617647058824
1360621413.112,59.5703125
1360622469.596,16.843971631205672
1360622469.539,16.843971631205672
1360622601.506,66.11842105263158
1360622617.958,16.843971631205672
1360622619.22,16.96428571428571
1360622620.271,16.96428571428571
1360622620.142,16.843971631205672
1360622623.737,16.843971631205672
1360622627.886,16.843971631205672
1360622628.822,48.372235872235876
1360622656.875,44.642857142857146
1360622720.346,11.355377906976743
1360622786.916,152.34375
1360623172.878,185.66810344827587
1360623339.715,11.355377906976743
1360623705.22,16.725352112676056
1360624045.773,11.488970588235295
1360624673.884,35.326086956521735
1360624674.757,35.326086956521735
1360624676.444,17.0863309352518
1360624675.951,33.163265306122454
1360624739.349,35.326086956521735
1360624739.348,16.96428571428571
1360624737.059,34.57446808510638
1360624738.103,34.57446808510638
1360625475.242,16.07142857142857
1360627335.186,15.84507042253521
1360629872.796,8.685800604229607
1360634017.936,59.840425531914896
1360634158.926,12960.9375
1360634165.144,560.7311320754717
1360634154.93,225.69444444444446
1360634159.439,8679.086538461539
1360634176.965,37796.875
1360634177.028,37921.875
1360634177.091,18890.625
1360634178.549,3107.5721153846152
1360634175.313,912.603021978022
1360634178.662,5479.166666666667
1360634179.913,5479.166666666667
1360634163.344,108494.79166666667
1360634163.911,2807.2916666666665
1360634163.975,4210.9375
1360634162.237,566.40625
1360634163.246,248380.20833333334
1360634163.471,51484.375
1360634163.787,2807.2916666666665
1360634163.85,4210.9375
1360634180.615,204.6232876712329
1360634180.741,411.4955357142857
1360634180.993,80.93525179856115
1360634181.307,151.53476331360946
1360634191.959,2156.25
1360634180.913,103.72340425531915
1360634179.47,908.3614864864866
1360634175.36,3328.9473684210525
1360634176.624,2651.5625
1360634193.789,4774.553571428572
1360634180.6,704.1440217391305
1360634180.6,358.1861413043478
1360634180.6,223.67527173913044
1360634180.6,358.86548913043475
1360634180.54,380.0951086956522
1360634180.539,239.13043478260872
1360634181.365,42171.875
1360634181.364,2906.25
1360634183.594,11968.75
1360634184.1,6257.8125
