Real First Packet,doctets/duration
1360587671.666,294.2562849162011
1360587686.212,26363.28125
1360587686.592,11411.458333333334
1360587957.096,10.26218220338983
1360587963.989,3926.6826923076924
1360588272.432,3646.2053571428573
1360588281.64,16.843971631205672
1360588342.181,221.5909090909091
1360588697.851,3926.6826923076924
1360588969.035,541.6666666666666
1360588975.825,3646.2053571428573
1360589095.069,4890.625
1360589133.744,50.16447368421053
1360589280.629,221.5909090909091
1360589288.425,4253.90625
1360589594.593,221.5909090909091
1360589602.826,3926.6826923076924
1360589868.347,4253.90625
1360589949.962,10.106382978723405
1360589979.902,10.106382978723405
1360590032.861,4890.625
1360590038.271,10.106382978723405
1360590052.395,3926.6826923076924
1360590068.108,10.106382978723405
1360590350.53,10.14957264957265
1360590364.782,4253.90625
1360590380.475,10.14957264957265
1360590657.218,4890.625
1360590662.682,10.14957264957265
1360590676.923,3403.125
1360590692.664,10.14957264957265
1360590968.961,4890.625
1360591084.204,2479.1666666666665
1360591082.57,160.15625
1360591084.671,3343.75
1360591084.798,2421.875
1360591082.47,232.95454545454544
1360591066.372,3926.6826923076924
1360591084.552,32382.056451612905
1360591083.839,623.1971153846155
1360591094.899,935.2678571428571
1360591095.089,2187.5
1360591090.155,112.76355421686748
1360591083.67,492.52717391304344
1360591084.177,468.2173295454545
1360591084.177,228.515625
1360591089.353,57.56578947368421
1360591094.729,2187.5
1360591089.607,246.73763736263737
1360591090.72,49325.0
1360591090.72,19750.0
1360591091.229,13201.041666666666
1360591091.901,1417.4107142857142
1360591092.028,349734.375
1360591092.745,323000.0
1360591095.221,3375.0
1360591124.379,4351.5625
1360591155.574,95.58823529411764
1360591150.826,5078.125
1360591158.951,23.214285714285715
1360591172.457,5.782918149466192
1360591281.104,4890.625
1360591305.385,3926.6826923076924
1360592362.343,4890.625
1360592554.822,243.75
1360592561.249,3926.6826923076924
1360592675.621,2007.8125
1360592709.214,4253.90625
1360592862.426,135.41666666666666
1360592949.377,4187.5
1360592950.182,3109.375
1360592951.007,2182.2916666666665
1360592949.24,854.1666666666666
1360592949.304,1281.25
1360592950.882,2734.375
1360592954.436,2187.5
1360592954.499,1395.8333333333333
1360592955.136,2187.5
1360592954.75,5468.75
1360592955.311,5828.125
1360592962.622,5349.609375
1360592962.431,3890.625
1360592949.574,4769.736842105262
1360592949.428,2019.270833333333
1360592949.427,7302.083333333333
1360592949.745,1355.2083333333333
1360592951.243,7140.625
1360592951.94,8546.875
1360592953.014,47416.666666666664
1360592953.622,24843.75
1360592953.09,9296.875
1360592953.608,2762.5
1360592958.842,1823.555424528302
1360592963.158,904.1280864197531
1360592963.348,832.5892857142857
1360592961.991,1298.5026041666667
1360592963.005,2280.2770146520147
1360592965.578,216.15229528535983
1360592965.528,165.24503722084367
1360592965.322,1661.830357142857
1360592965.385,7406.25
1360592965.151,4945.3125
1360592969.203,926.0416666666666
1360592971.06,215.1151812688822
1360592969.092,28390.625
1360592976.84,412.66185258964146
1360592969.414,10441.525829081633
1360592981.764,5594.558189655173
1360592973.343,3187.5
1360592973.599,158570.3125
1360592976.956,2322.368421052631
1360592978.266,1528.4090909090908
1360592977.488,5073.4375
1360592977.867,31062.5
1360593007.914,3906.25
1360593007.67,5208.333333333333
1360592991.014,13621.875
1360592991.255,1634.765625
1360592990.813,4890.625
1360593017.16,38250.0
1360593013.691,233.47929936305732
1360593013.881,28.245192307692307
1360592999.283,89941.40625
1360592999.281,13197.916666666666
1360592999.281,101149.55357142857
1360592999.198,29203.125
1360592999.198,135292.1875
1360592999.196,152782.67045454547
1360593005.95,10437.5
1360593007.296,12750.651041666666
1360593009.972,2049.923780487805
1360593010.036,1667.0138888888887
1360593010.097,2141.517857142857
1360593009.943,1391.2037037037037
1360593010.007,1852.4305555555557
1360593010.069,38114.97641509434
1360593013.546,218.9496805111821
1360593013.372,105.02373417721519
1360593016.589,1063.4765625
1360593020.628,16345.982142857143
1360593049.213,157.03125
1360593049.281,4484.375
1360593049.216,157.03125
1360592999.608,4076.2823405535496
1360592999.607,10272.052171290712
1360592999.607,3559.53631452581
1360593049.171,162.44612068965517
1360593049.234,162.44612068965517
1360593049.233,4484.375
1360593056.32,21.847345132743364
1360593056.507,21.282327586206897
1360593056.888,19.909274193548388
1360593056.888,19.909274193548388
1360593057.141,19.287109375
1360593056.846,19.909274193548388
1360593057.1,19.438976377952756
1360593081.059,2156.25
1360593071.985,3531.25
1360593092.259,1815.3409090909092
1360593009.664,4867.936314710405
1360593131.544,4484.375
1360593131.564,4484.375
1360593112.16,21.818693693693692
1360593133.101,2173.076923076923
1360593133.426,2218.75
1360593164.306,1787.6157407407406
1360593172.088,2533.208224543081
1360593172.088,282.1044921875
1360593192.672,4484.375
1360593195.403,7804.086538461538
1360593010.181,631.1043233082708
1360593009.817,1694.072982774252
1360593222.655,4484.375
1360593009.783,812.0951118963486
1360593009.782,679.1077738515902
1360593206.928,1996.875
1360593236.318,12744.791666666666
1360593220.99,24.713010204081634
1360593227.54,69203.125
1360593227.37,1276.9031954887218
1360593227.433,69203.125
1360593252.676,4484.375
1360593252.57,5078.125
1360593252.695,4484.375
1360593232.52,1505.552030456853
1360593229.931,5217.403017241379
1360593230.25,1365.625
1360593230.184,1316.0635964912283
1360593230.31,1365.909090909091
1360593230.691,17734.375
1360593230.751,8011.029411764706
1360593230.878,26066.666666666668
1360593231.617,61113.095238095244
1360593230.095,1439.9038461538462
1360593230.221,1386.8634259259259
1360593230.585,27758.311170212768
1360593230.648,5197.066326530612
1360593231.658,23344.8093220339
1360593234.171,2330.541237113402
1360593234.003,1598.3009708737864
1360593234.002,1971.8455188679245
1360593233.998,1599.0625
1360593240.8,1291.1458333333335
1360593238.806,4547.286184210527
1360593239.259,1038.1944444444443
1360593240.871,1159.0221774193546
1360593240.866,1234.86328125
1360593241.186,1197.65625
1360593240.974,1359.1008771929824
1360593241.965,4509.447674418604
1360593244.865,82531.25
1360593258.959,4296.875
1360593287.295,1364.5833333333333
1360593287.359,4484.375
1360593287.359,2242.1875
1360593287.358,2242.1875
1360593287.422,4484.375
1360593233.143,6320.968934911242
1360593287.184,2156.25
1360593287.247,1364.5833333333333
1360593287.311,2242.1875
1360593287.119,1416.6666666666667
1360593287.182,2156.25
1360593287.182,2156.25
1360593287.309,4484.375
1360593232.035,10630.454349078342
1360593303.477,1636.71875
1360593292.488,66.23427672955975
1360593288.154,88.16964285714286
1360593288.072,88.16964285714286
1360593292.473,705.6760204081633
1360593310.519,1101.736111111111
1360593311.074,12440.779320987655
1360593308.889,2289.4021739130435
1360593308.396,14217.853483606557
1360593308.396,8150.15243902439
1360593308.395,14398.949795081966
1360593295.685,4296.875
1360593320.732,3023.082386363636
1360593321.939,22671.875
1360593322.703,14265.625
1360593326.475,2146.484375
1360593321.957,9437.5
1360593326.09,3645.8333333333335
1360593323.017,9500.0
1360593327.172,2734.375
1360593327.426,2734.375
1360593327.745,5062.5
1360593304.466,1255.0
1360593304.013,4388.88888888889
1360593304.013,5476.5625
1360593303.796,2918.323863636364
1360593302.687,4890.625
1360593305.941,347.10743801652893
1360593306.826,111.42241379310344
1360593308.14,1311.060855263158
1360593329.168,2229.1666666666665
1360593329.611,2229.1666666666665
1360593328.459,2675.0
1360593322.31,97.76182432432432
1360593330.374,2675.0
1360593334.785,1093.75
1360593328.803,4458.333333333333
1360593328.098,5468.75
