Real First Packet,doctets/duration
1360587793.312,291.6666666666667
1360587793.865,221.5909090909091
1360587795.517,2680.8035714285716
1360587796.019,1439.293032786885
1360587796.146,18984.375
1360587797.098,3554.6875
1360587812.961,1408.203125
1360588107.121,145.83333333333334
1360588109.529,2686.3839285714284
1360588107.543,125.0
1360588109.949,1293.6422413793102
1360588109.949,18984.375
1360588112.254,3554.6875
1360588112.023,4750.0
1360588123.049,7732.142857142857
1360588128.237,1289.0625
1360588156.637,7415.178571428572
1360588352.746,16.07142857142857
1360588423.33,122.18237704918032
1360588423.712,67.70833333333333
1360588424.884,231.77083333333334
1360588426.93,1790.922619047619
1360588428.712,3238.636363636364
1360588427.234,403.36277173913044
1360588429.182,4750.0
1360588448.811,2013.0208333333335
1360588587.48,57.765151515151516
1360588710.239,48.87820512820513
1360589020.03,221.5909090909091
1360589019.635,291.6666666666667
1360589021.686,1230.0204918032787
1360589021.606,19000.0
1360589022.626,3554.6875
1360589040.684,2415.625
1360589212.436,6604.166666666667
1360589332.499,158.57712765957447
1360589336.4,15546.875
1360589333.028,65.52419354838709
1360589334.112,221.23579545454544
1360589337.556,1063.3561643835617
1360589339.4,4750.0
1360589339.326,3562.5
1360589346.097,2415.625
1360589648.589,125.0
1360589650.18,2089.409722222222
1360589648.294,319.79166666666663
1360589651.602,1185.05859375
1360589651.602,18984.375
1360589652.72,3554.6875
1360589668.154,2013.0208333333335
1360589964.139,221.5909090909091
1360589963.715,299.8046875
1360589966.502,2292.410714285714
1360589967.46,2968.75
1360589966.49,18984.375
1360589968.441,791.6666666666666
1360589971.57,2586.4583333333335
1360589981.181,2013.0208333333335
1360590013.2,7970.982142857143
1360590013.151,7970.982142857143
1360590013.215,5497.767857142857
1360590012.032,5879.6875
1360590014.467,3254.464285714286
1360590278.488,104.83870967741936
1360590279.699,976.5625
1360590277.899,181.78353658536585
1360590280.939,3618.75
1360590281.38,1455.2696078431372
1360590282.415,3562.5
1360590293.561,2415.625
1360590551.321,2914.0625
1360590593.055,125.0
1360590594.943,4421.875
1360590595.771,2914.0625
1360590592.441,201.4358108108108
1360590595.549,19000.0
1360590595.548,1503.0637254901962
1360590596.345,3238.636363636364
1360590600.458,15736.607142857143
1360590614.386,2253.125
1360590644.966,13375.0
1360590645.912,12461.538461538461
1360590645.576,10.106382978723405
1360590675.576,10.14957264957265
1360590701.146,5828.125
1360590707.593,3082.632211538462
1360590718.318,5828.125
1360590705.505,10.14957264957265
1360590735.542,10.14957264957265
1360590765.481,10.106382978723405
1360590795.127,10.106382978723405
1360590825.051,10.106382978723405
1360590855.016,10.106382978723405
1360590885.976,10.14957264957265
1360590910.639,2816.40625
1360590911.677,19000.0
1360590911.676,16.07142857142857
1360590911.975,3230.113636363636
1360590912.333,3373.5795454545455
1360590915.121,10.14957264957265
1360591225.108,2816.40625
1360591227.304,3238.636363636364
1360591225.03,1500.625
1360591225.152,18984.375
1360591540.625,2816.40625
1360591540.098,2159.722222222222
1360591540.667,18984.375
1360591541.728,3238.636363636364
1360591754.52,5767.36111111111
1360591855.98,2816.40625
1360591856.717,3562.5
1360591855.862,2771.2053571428573
1360591855.862,18984.375
1360591977.015,5819.444444444444
1360591977.621,6765.625
1360592169.968,1923.878205128205
1360592169.968,2816.40625
1360592170.421,3230.113636363636
1360592485.267,2816.40625
1360592485.393,332.19588122605364
1360592486.194,2544.6428571428573
1360592485.304,18984.375
1360592487.262,4750.0
1360592655.934,207.4652777777778
1360592680.565,4510.416666666667
1360592784.751,7.004310344827586
1360592799.198,1308.531746031746
1360592799.094,1408.203125
1360592799.158,19000.0
1360592800.906,3238.636363636364
1360592957.163,11.081231454005934
1360593113.83,1914.8065476190477
1360593115.387,3231.534090909091
1360593113.652,2816.40625
1360593355.262,406.25
1360593428.279,3001.25
1360593428.123,2816.40625
1360593429.108,3562.5
1360593430.282,4750.0
1360593514.494,3751.7361111111113
1360593515.939,4263.020833333333
1360593685.928,5656.25
1360593718.862,6765.625
1360593719.089,13421.875
1360593719.76,4996.09375
1360593799.072,976.5625
1360593797.84,177.45535714285714
1360593802.027,54.20918367346938
1360593813.614,125.0
1360593811.233,14.128989361702128
1360593816.253,27.54237288135593
1360593800.868,27.917867435158502
1360593827.664,10.416666666666666
1360593822.723,164.9375
1360593847.662,10.416666666666666
1360593959.442,243.75
1360593960.574,406.25
1360593960.929,58.035714285714285
1360593961.289,54.16666666666667
1360593980.275,12.5
1360593980.588,12.254901960784313
1360594015.039,13304.6875
1360594015.723,1373.798076923077
1360594016.971,5828.125
1360594018.571,6415.79861111111
1360594015.237,1041.40625
1360594017.954,3194.375
1360594014.907,1211.8459302325582
1360594015.343,740.573347107438
1360594017.454,3238.636363636364
1360594017.641,1075.892857142857
1360594017.467,1704.8373287671232
1360594017.715,941.40625
1360594017.951,1450.5208333333333
1360594019.535,4321.614583333333
1360594021.307,2253.125
1360594048.545,3484.375
1360594048.309,1161.4583333333333
1360594037.356,35.97184065934066
1360594046.656,255.6818181818182
1360594118.235,4761.458333333334
1360594115.286,5828.125
1360594127.151,2914.0625
1360594120.801,3453.125
1360594120.712,4750.0
1360594118.664,2314.7321428571427
1360594124.239,4602.864583333333
1360594122.085,23605.46875
1360594123.205,6598.177083333334
1360594135.622,812.5
1360594183.036,25.440705128205128
1360594178.944,13091.517857142857
1360594178.221,5539.0625
1360594228.217,2914.0625
1360594240.997,5828.125
1360594241.374,325.0
1360594223.704,9203.125
1360594223.798,5484.375
1360594224.999,31000.0
1360594256.431,5828.125
1360594306.622,2914.0625
1360594332.073,1942.7083333333333
1360594338.549,50981.25
1360594343.402,6148.4375
1360594337.453,35460.9375
1360594337.516,17687.5
1360594337.515,118.13186813186813
1360594337.578,64.04532967032966
1360594344.232,27218.75
1360594338.022,1684.1032608695652
1360594338.02,3304.6875
1360594338.313,27218.75
1360594338.49,8127.604166666666
1360594343.293,14184.375
1360594339.517,130.20833333333334
1360594337.462,72.18070652173914
1360594343.927,4437.5
1360594344.291,61921.875
1360594337.825,372.1590909090909
1360594319.163,1131.25
1360594346.668,3814.6446078431372
1360594346.732,194.24019607843138
1360594346.858,2534.1198979591836
1360594345.38,130.20833333333334
1360594343.905,383.7890625
1360594343.905,6668.719951923076
1360594346.621,127.70432692307693
1360594346.62,129.50721153846155
