,windows,doctets/duration
0,1360587600,0.001
1,1360587900,0.001
2,1360588200,0.001
3,1360588500,0.001
4,1360588800,0.001
5,1360589100,0.001
6,1360589400,0.001
7,1360589700,0.001
8,1360590000,0.001
9,1360590300,0.001
10,1360590600,0.001
11,1360590900,0.001
12,1360591200,0.001
13,1360591500,0.001
14,1360591800,0.001
15,1360592100,0.001
16,1360592400,0.001
17,1360592700,0.001
18,1360593000,0.001
19,1360593300,0.001
20,1360593600,0.001
21,1360593900,0.001
22,1360594200,0.001
23,1360594500,0.001
24,1360594800,0.001
25,1360595100,0.001
26,1360595400,0.001
27,1360595700,0.001
28,1360596000,0.001
29,1360596300,0.001
30,1360596600,0.001
31,1360596900,108.95061573888667
32,1360597200,0.001
33,1360597500,0.001
34,1360597800,5.940082644628099
35,1360598100,0.001
36,1360598400,2948.744988892359
37,1360598700,883.9128631260318
38,1360599000,29.37104996120355
39,1360599300,257.2839573662985
40,1360599600,465.4612880514856
41,1360599900,256.8045672378739
42,1360600200,23.377777370528577
43,1360600500,14278.167117276156
44,1360600800,1562.2758249976125
45,1360601100,1431.5745954396602
46,1360601400,5694.832616707617
47,1360601700,1711.8248756309615
48,1360602000,1268.375017434195
49,1360602300,6499.574773044221
50,1360602600,1784.1754767600912
51,1360602900,1843.3781858998384
52,1360603200,3764.980091318652
53,1360603500,2313.2867792848415
54,1360603800,28.23659828808888
55,1360604100,20465.562075400376
56,1360604400,23808.024343911147
57,1360604700,2906.2837829919235
58,1360605000,26273.098954288325
59,1360605300,29898.021218864127
60,1360605600,11071.010947046774
61,1360605900,24522.903914561746
62,1360606200,48019.31299722419
63,1360606500,11808.624594673955
64,1360606800,24167.145159536616
65,1360607100,22300.004515428398
66,1360607400,3459.5747512693924
67,1360607700,1413.6075787848947
68,1360608000,1349.0923779247923
69,1360608300,1179.290402927549
70,1360608600,1321.1082852082332
71,1360608900,1345.3517491985224
72,1360609200,1397.054183949174
73,1360609500,7499.727339782001
74,1360609800,2232.90431197176
75,1360610100,3486.651146947375
76,1360610400,16862.99866892609
77,1360610700,1316.661740636124
78,1360611000,1084.9754033259035
79,1360611300,12017.221342091529
80,1360611600,4896.199798065624
81,1360611900,2590.936199760665
82,1360612200,980.1683464816653
83,1360612500,3363.7445599911034
84,1360612800,2857.770366296115
85,1360613100,6011.240200214634
86,1360613400,6643.145820857076
87,1360613700,8924.551722526028
88,1360614000,2713.052747714503
89,1360614300,4231.292977608343
90,1360614600,0.001
91,1360614900,0.001
92,1360615200,0.001
93,1360615500,0.001
94,1360615800,0.001
95,1360616100,5368.893915796086
96,1360616400,53.342379657969154
97,1360616700,0.001
98,1360617000,0.001
99,1360617300,0.001
100,1360617600,0.001
101,1360617900,0.001
102,1360618200,0.001
103,1360618500,2996.885136086882
104,1360618800,2994.3838563115746
105,1360619100,1120.0555235461068
106,1360619400,4239.113680907331
107,1360619700,7375.770416765454
108,1360674000,0.001
109,1360674300,0.001
110,1360674600,0.001
111,1360674900,0.001
112,1360675200,0.001
113,1360675500,0.001
114,1360675800,0.001
115,1360676100,0.001
116,1360676400,0.001
117,1360676700,0.001
118,1360677000,0.001
119,1360677300,0.001
120,1360677600,0.001
121,1360677900,0.001
122,1360678200,0.001
123,1360678500,0.001
124,1360678800,0.001
125,1360679100,0.001
126,1360679400,0.001
127,1360679700,0.001
128,1360680000,0.001
129,1360680300,0.001
130,1360680600,0.001
131,1360680900,0.001
132,1360681200,0.001
133,1360681500,0.001
134,1360681800,0.001
135,1360682100,0.001
136,1360682400,0.001
137,1360682700,0.001
138,1360683000,11865.162572719853
139,1360683300,8957.944425056934
140,1360683600,10691.182206202759
141,1360683900,1675.457533088601
142,1360684200,13086.556755299505
143,1360684500,30646.92433048119
144,1360684800,972.4126533138393
145,1360685100,17969.87139323576
146,1360685400,2160.7095370396955
147,1360685700,8115.221610355482
148,1360686000,8796.85780045876
149,1360686300,50253.47575809905
150,1360686600,7324.528150099992
151,1360686900,8150.631143376831
152,1360687200,9688.654617137194
153,1360687500,537.3933612511618
154,1360687800,9636.337223323997
155,1360688100,27947.853665113176
156,1360688400,4945.457702529931
157,1360688700,1786.0321396148192
158,1360689000,1122.3881508095662
159,1360689300,4965.907925287336
160,1360689600,1356.828349032791
161,1360689900,1371.534734645264
162,1360690200,1464.4261928507574
163,1360690500,7114.09087081501
164,1360690800,123.39189327110812
165,1360691100,193.07224462505528
166,1360691400,448.2558515939503
167,1360691700,1600.1618611512843
168,1360692000,504.6441352103532
169,1360692300,822.8255856772557
170,1360692600,410.1315892237592
171,1360692900,735.0336209340801
172,1360693200,1440.9795813302005
173,1360693500,1818.2638418584265
174,1360693800,1538.6558326431693
175,1360694100,1367.1022106960559
176,1360694400,2135.556102033112
177,1360694700,1365.865936735801
178,1360695000,1073.7202276962435
179,1360695300,1574.2372038636631
180,1360695600,2013.12276514728
181,1360695900,678.7928067933823
182,1360696200,2641.3813118396624
183,1360696500,2189.4080805673457
184,1360696800,16635.11525987079
185,1360697100,4474.374274652229
186,1360697400,4577.12976504085
187,1360697700,1899.0061571123902
188,1360698000,1483.6845281124474
189,1360698300,3870.6613060140885
190,1360698600,1502.1611637258845
191,1360698900,2022.8017925732172
192,1360699200,13654.885814285255
193,1360699500,5532.164205083728
194,1360699800,523.0567635142552
195,1360700100,610.5301211757011
196,1360700400,898.5149274392153
197,1360700700,916.3479264547467
198,1360701000,7667.586325878278
199,1360701300,735.1512545621572
200,1360701600,3416.2241947326575
201,1360701900,936.4217110650377
202,1360702200,1914.9443603769037
203,1360702500,806.7232525420029
204,1360702800,2305.890643782183
205,1360703100,5135.055010504525
206,1360703400,1161.3662938939026
207,1360703700,119.43938145015876
208,1360704000,852.62193745776
209,1360704300,914.4134378075538
210,1360704600,2655.065181885082
211,1360704900,418.1042326705306
212,1360705200,245.4412805005471
213,1360705500,139.5889391096265
214,1360705800,232.84816267606456
215,1360706100,226.0449188124762
216,1360760400,0.001
217,1360760700,0.001
218,1360761000,0.001
219,1360761300,0.001
220,1360761600,0.001
221,1360761900,0.001
222,1360762200,0.001
223,1360762500,0.001
224,1360762800,0.001
225,1360763100,0.001
226,1360763400,0.001
227,1360763700,0.001
228,1360764000,0.001
229,1360764300,0.001
230,1360764600,0.001
231,1360764900,0.001
232,1360765200,0.001
233,1360765500,0.001
234,1360765800,0.001
235,1360766100,0.001
236,1360766400,0.001
237,1360766700,0.001
238,1360767000,0.001
239,1360767300,0.001
240,1360767600,90.9090909090909
241,1360767900,0.001
242,1360768200,0.001
243,1360768500,0.001
244,1360768800,0.001
245,1360769100,0.001
